localword,words,type
walltownship_0,"[('career', 2), ('arc', 2)]",topic 10
walt_0,"[('usa', 1), ('america', 1)]",topic 22
walt disney studio_0,"[('awesome', 2), ('amazing', 1)]",topic 20
walt disney world_0,"[('throwback', 1), ('thursday', 1)]",topic 20
waltdisneyworld_1,"[('kingdom', 5), ('magic', 4)]",topic 4
warner theatre_1,"[('hispanic', 2), ('heritage', 2)]",topic 17
warnerrobin_0,"[('career', 3), ('arc', 3)]",topic 10
washington university_1,"[('ambassador', 2), ('student', 2)]",topic 28
washingtondc_5,"[('museum', 3), ('art', 3), ('gallery', 1)]",topic 24
washingtondc_6,"[('nfl', 1), ('football', 1)]",topic 30
waterfront portland oregon_0,"[('trip', 1), ('adventure', 1)]",topic 22
watkin_0,"[('nature', 1), ('hiking', 1)]",topic 22
wauwatosa_0,"[('career', 3), ('arc', 3)]",topic 10
wch2016_7,"[('usa', 6), ('america', 5)]",topic 22
wch2016_8,"[('pretty', 1), ('cool', 1), ('awesome', 1)]",topic 20
wdw_1,"[('kingdom', 8), ('magic', 5)]",topic 4
wearetexan_0,"[('lot', 2), ('parking', 1)]",topic 30
webbersfall_0,"[('customer', 2), ('cashier', 1)]",topic 9
webster hall_0,"[('roll', 2), ('rock', 2)]",topic 21
wec_0,"[('qualifying', 1), ('race', 1), ('endurance', 1)]",topic 19
wegman_7,"[('food', 1), ('chicken', 1)]",topic 14
weho_2,"[('foodie', 1), ('yummy', 1), ('food', 1), ('eats', 1)]",topic 14
welovela_1,"[('stadium', 4), ('beat', 2)]",topic 30
west georgia_1,"[('university', 2), ('college', 1)]",topic 28
west village_1,"[('street', 2), ('mural', 1), ('art', 1), ('graffiti', 1)]",topic 24
westchester county airport_0,"[('construction', 1), ('incident', 1)]",topic 1
westchestercounty_0,"[('career', 2), ('arc', 2)]",topic 10
westcoast_2,"[('west', 2), ('coast', 1)]",topic 1
westcoast_0,"[('west', 3), ('coast', 1)]",topic 1
westcoast_4,"[('west', 2), ('coast', 1)]",topic 1
westdesmoine_0,"[('assistant', 1), ('store', 1)]",topic 9
westhill_0,"[('career', 2), ('arc', 2)]",topic 10
westlosang_0,"[('bookkeeper', 1), ('accounting', 1)]",topic 9
westsaintpaul_0,"[('assistant', 1), ('store', 1)]",topic 9
westseneca_0,"[('career', 2), ('arc', 2)]",topic 10
westvalleycity_0,"[('career', 2), ('arc', 2)]",topic 10
westvillage_0,"[('food', 2), ('porn', 2), ('yum', 1), ('eat', 1)]",topic 14
wetrepublic_0,"[('party', 2), ('pool', 2)]",topic 20
wgbh_0,"[('food', 1), ('eat', 1)]",topic 14
whatsnewwhatsnext_0,"[('design', 2), ('interior', 1)]",topic 24
whereiroot_0,"[('sunday', 1), ('saturday', 1)]",topic 26
whitefishbay_0,"[('career', 3), ('arc', 3)]",topic 10
whodey_5,"[('nation', 2), ('beat', 1)]",topic 30
wichitafall_0,"[('career', 2), ('arc', 2)]",topic 10
willamette_2,"[('river', 2), ('bridge', 2)]",topic 22
williamsbrice_0,"[('brice', 2), ('williams', 2)]",topic 13
williamsburg nyc_0,"[('summer', 2), ('endless', 1)]",topic 22
williamsburg waterfront pier_0,"[('filter', 2), ('nature', 1)]",topic 22
willowdale_0,"[('career', 2), ('arc', 2)]",topic 10
windsorheight_0,"[('career', 2), ('arc', 2)]",topic 10
windsorlock_0,"[('career', 2), ('arc', 2)]",topic 10
windy city_0,"[('trip', 1), ('adventure', 1)]",topic 22
windycity_1,"[('sky', 1), ('weather', 1)]",topic 22
winecountry_5,"[('wine', 1), ('tasting', 1), ('winery', 1)]",topic 14
winecountry_6,"[('wine', 1), ('winery', 1)]",topic 14
winforvin_0,"[('beat', 2), ('stadium', 2)]",topic 30
winterspring_0,"[('clerical', 1), ('cosmetology', 1), ('technician', 1), ('pharmacy', 1)]",topic 9
winwoodwall_0,"[('art', 2), ('wall', 1)]",topic 24
wisconsinla crosse_0,"[('university', 6), ('college', 1)]",topic 28
wiseacre_0,"[('brewery', 1), ('beer', 1)]",topic 14
woodland hill_0,"[('middle', 1), ('elementary', 1)]",topic 6
woodlandhill_1,"[('career', 2), ('arc', 2)]",topic 10
world cup_0,"[('trip', 1), ('usa', 1)]",topic 22
world trade center_0,"[('freedom', 2), ('tower', 1)]",topic 22
worldcup_0,"[('usa', 2), ('america', 1)]",topic 22
worldcupofhockey_1,"[('usa', 2), ('america', 1)]",topic 22
worldtradecenter_1,"[('skyline', 1), ('downtown', 1)]",topic 22
wpc2016_0,"[('cool', 1), ('awesome', 1)]",topic 20
wrigley field_0,"[('awesome', 2), ('cool', 1)]",topic 20
wrigleyfield_0,"[('ballgame', 2), ('mlb', 2), ('cubbies', 2)]",topic 30
wtc_0,"[('tower', 3), ('freedom', 2)]",topic 22
wynn la vegas_0,"[('yum', 1), ('eating', 1), ('food', 1)]",topic 14
wynwood_1,"[('art', 5), ('gallery', 1), ('painting', 1), ('artist', 1)]",topic 24
wynwood wall_0,"[('art', 4), ('mural', 1)]",topic 24
wynwoodwall_0,"[('art', 3), ('street', 1)]",topic 24
yankee_0,"[('sunday', 2), ('saturday', 1)]",topic 26
yankee stadium_0,"[('match', 1), ('fc', 1), ('soccer', 1)]",topic 30
yardley_0,"[('career', 2), ('arc', 2)]",topic 10
ygk_0,"[('fall', 2), ('autumn', 1)]",topic 22
yonker_0,"[('thruway', 1), ('cleared', 1), ('construction', 1), ('incident', 1)]",topic 1
yorktownheight_0,"[('career', 3), ('arc', 3)]",topic 10
youngstown state university_0,"[('pic', 1), ('picture', 1)]",topic 23
yyj_2,"[('arts', 2), ('art', 1)]",topic 24
yyz_1,"[('art', 1), ('street', 1)]",topic 24
zac_0,"[('concert', 3), ('amphitheater', 1)]",topic 20
zinzinnati_0,"[('oktoberfest', 13), ('octoberfest', 1)]",topic 14
